,stock_large,stock_small,bond,stock_HongKong,stock_US
2005/8/22,0.9355,1.2946,0.0455,1.1971,0.1656
2005/8/23,-0.8865,-1.7537,0.0727,-1.6082,-0.3405
2005/8/24,0.7837,1.1999,0.0454,-0.6681,-0.6554
2005/8/25,-0.0573,1.1736,-0.109,0.1025,0.2323
2005/8/26,-0.2,0.4798,0.0182,0.6299,-0.6021
2005/8/29,-1.1728,-0.9737,-0.0091,-0.9739,0.5958
2005/8/30,-0.2715,-0.5645,0.0546,0.5746,-0.3192
2005/8/31,1.4249,2.1258,0.0909,-0.1251,0.9864
2005/9/1,1.7936,2.3976,-0.0363,1.6117,0.1033
2005/9/2,0.3506,0.8181,0,0.516,-0.2922
2005/9/5,0.5113,1.353,0.0454,0.039,
2005/9/6,-1.6906,-2.4651,0.0908,-0.4403,1.2619
2005/9/7,1.7241,2.9721,-0.0091,0.4208,0.2408
2005/9/8,0.2649,0.1762,0.0363,-0.3836,-0.3793
2005/9/9,-0.6508,-1.145,0.0816,-0.0026,0.7965
2005/9/12,0.0465,0.4614,0.0272,0.2243,-0.0741
2005/9/13,1.5027,2.3485,0.0362,-0.8502,-0.7545
2005/9/14,0.666,1.1801,0.0905,0.1066,-0.3281
2005/9/15,-0.0613,0.3849,0.0633,-0.3023,0.0464
2005/9/16,-0.2169,-0.0944,0.1085,-0.3844,0.8292
2005/9/19,0.3763,1.4004,0.0181,,-0.5566
2005/9/20,-0.9491,-0.6802,0.0813,1.7263,-0.7863
2005/9/21,-1.8204,-1.5553,-0.0541,-0.1197,-0.9121
2005/9/22,-2.2378,-3.2726,-0.009,-0.2869,0.3652
2005/9/23,-0.7712,-1.3027,0.0451,-0.237,0.0552
2005/9/26,0.2544,0.7243,0.1263,0.8607,0.028
2005/9/27,-1.5538,-2.044,-0.0451,-0.5528,0.0025
2005/9/28,-0.0547,-0.5367,0.1713,0.2079,0.1012
2005/9/29,1.3562,2.2211,0.018,1.3783,0.8867
2005/9/30,0.1547,-0.2045,0,-0.0177,0.092
2005/10/10,-1.0978,-1.2376,0.144,-3.4336,-3.3756
2005/10/11,1.3666,2.3144,0.1168,,-0.2072
2005/10/12,0.4094,1.0343,0.0718,-2.173,-0.6068
2005/10/13,-0.7565,-0.48,0.1794,0.3212,-0.0713
2005/10/14,-1.2734,-0.8373,0.009,-0.9298,0.8268
2005/10/17,-0.7963,0.3087,0.0716,0.3829,0.2975
2005/10/18,0.5284,1.7004,0.0626,0.3855,-1.005
2005/10/19,-0.4014,-0.8263,0.0358,-1.5389,1.4956
2005/10/20,0.1303,0.0267,0.0536,0.2517,-1.502
